name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
RedCloud,843885846,2372806,3425009,19887431,22,9,0,8518002,5802802,5,1,true,true,0,0,true,true,0,0,0,0,0,2,0,1
ryzingTitan,844171967,2910399,4141044,25996257,0,14,0,8232065,7064065,4,1,true,true,0,0,false,false,0,0,0,2,,,1,
Humpr Glump,369555639,3194318,4897581,37292980,9,35,0,13793496,8092821,5,1,true,true,0,0,true,true,0,0,0,4,4,3,4,0
MINI Nicolas Marcheciel,925496831,2420795,3249996,31654535,12,37,1,11408132,5688432,5,0,true,true,0,29782,true,true,0,0,0,4,0,2,4,1
Veers,189341839,2667683,3595325,34482257,16,44,0,11564029,6267329,4,2,true,true,0,0,true,false,0,0,0,4,4,2,4,
GeneralKenobi,537549179,2072494,3135478,29656372,0,39,0,10458683,5230083,4,2,true,true,0,0,true,false,0,0,0,1,4,4,4,
El paso,658545697,2937241,4137322,17414164,0,10,0,9153174,7069974,4,0,true,true,0,0,false,false,0,0,0,2,,2,1,
Steveo,649329236,2118539,3487663,20495481,1,11,0,6052808,5618808,4,1,true,true,0,0,false,false,0,0,0,1,,,,
Mhan'und Kota,425544887,2459296,3465890,28103169,19,29,1,10735965,5941365,4,2,true,true,0,55370,false,false,0,0,0,4,,4,4,
MasterJ,912225591,2653301,3853883,33501769,19,39,0,12218501,6517826,4,2,true,true,0,0,true,false,0,0,0,4,4,3,4,
Ghebbs,336539734,2899602,4149889,39440402,7,48,0,14559456,7058781,5,1,true,true,0,0,true,true,0,0,0,4,4,3,4,1
Sipress,617876691,2853878,3987850,30279186,3,29,0,10085993,6705318,4,1,true,false,0,0,false,false,136410,0,0,1,,3,4,
WiseBeyond,141746547,2301142,3889644,20731387,25,20,0,11433453,6194953,4,1,true,true,0,0,false,true,0,0,0,1,4,,4,1
MINI CT 42069,984252223,3393680,5067596,44642610,46,50,2,16458883,8487283,5,2,true,true,0,226877,true,true,0,0,0,4,4,4,4,1
Lance,599615996,2723925,3649004,36604646,5,45,4,13469490,6372790,5,1,true,true,0,90996,true,true,0,0,0,4,4,2,4,1
The Asset,581861662,2935768,4290103,35106153,3,32,1,13030169,7238719,5,1,true,true,0,0,true,true,0,0,0,1,3,2,4,1
MDevGuy,893219819,2195793,3358837,21037151,0,22,0,9913117,5559417,4,1,true,true,0,0,true,false,0,0,0,1,4,2,4,
JangoBear,996517736,3201640,4773799,31485864,45,26,2,12520104,7976004,3,2,true,true,0,0,false,false,0,0,0,4,4,4,,
Tmacc85,521812115,2218796,3394530,34526899,38,46,1,12778004,5681304,5,0,true,true,0,141486,true,true,0,0,0,4,4,2,4,1
Paasan313,595451192,2355623,2998410,27284520,7,32,0,9736040,5354540,3,1,true,true,0,61135,false,false,0,0,0,4,4,,4,
Quigman,138974936,2429823,3166405,19928671,9,18,0,5721622,4094122,1,1,true,false,0,0,false,false,1502106,0,0,,,,4,
D Fens,722948949,2912703,3974934,28643259,28,23,1,10688955,6887780,5,1,true,true,0,29910,true,true,0,0,0,4,0,3,3,0
CaptainK,947951149,2741652,3601567,28648597,14,22,0,10774214,6387714,4,1,true,true,0,0,false,true,0,0,0,1,4,,2,1
Tr1stram,548455812,2748163,4120437,35660442,0,38,0,14383391,6882716,5,1,true,true,0,0,true,true,0,0,0,4,4,3,4,1
Ladrano,594819111,1875641,2571791,25165727,22,32,2,10116326,4457326,4,1,true,true,0,46900,false,true,0,0,0,4,4,,3,1
Lepocalypse,971381917,2695277,3711550,25537731,0,20,0,8034327,6406827,1,2,true,true,0,0,false,false,0,0,0,,,,4,
Greatfuljed I,717658145,2921602,3893966,32166817,0,34,0,11141661,6817986,5,1,true,true,0,0,true,true,0,0,0,4,0,3,4,0
TK2618,375869453,2748157,3592119,29571409,0,26,4,9777490,6349990,2,1,true,true,0,0,false,true,0,0,0,,,,4,1
0The force is with you0,645496195,2316685,3063881,15605013,0,8,0,5386205,5386205,2,2,true,true,0,0,false,false,0,0,0,,,,,
Fishfly,182746569,2936276,3986863,24020183,12,27,4,9626950,6930775,4,1,true,true,0,168544,false,false,0,0,0,4,,3,,
mannabirds,563984912,2792468,4144687,21515114,0,22,0,11568209,6944509,4,2,true,true,0,0,true,false,0,0,0,2,4,2,4,
