name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Ghebbs,336539734,2899602,4149889,54262775,8,61,0,14822373,7109173,5,0,true,true,0,34053,true,true,0,0,0,3,4,4,1,1
Sipress,617876691,2853878,3987850,42015474,22,41,0,11736288,6853788,3,2,true,true,481197,151767,false,false,0,0,0,4,4,4,,
WiseBeyond,141746547,2301142,3889644,30594045,25,28,0,9862658,6195908,3,1,true,true,0,0,false,false,0,0,0,2,2,,4,
MINI CT 42069,984252223,3393680,5067596,59708565,66,65,3,15065955,8590205,5,1,true,true,603506,232963,true,true,0,0,0,3,4,4,4,0
Lance,599615996,2723925,3649004,47865038,5,57,5,11260392,6377892,5,1,true,true,0,0,true,true,0,0,0,4,4,4,0,0
The Asset,581861662,2935768,4290103,46088448,3,40,1,10982295,7239045,3,1,true,true,0,0,false,false,0,0,0,4,,,4,
MDevGuy,893219819,2195793,3358837,30336949,0,31,0,9299798,5559148,4,1,true,true,0,0,false,false,0,0,0,3,4,,2,
JangoBear,996517736,3201640,4773799,43982892,63,36,2,12497028,7978278,3,1,true,true,522902,287557,false,false,0,0,0,2,4,,4,
Tmacc85,521812115,2218796,3394530,49905380,47,63,1,15378481,5630231,5,1,true,true,305582,69199,true,true,0,0,0,4,4,4,4,1
Paasan313,595451192,2355623,2998410,36390205,7,40,0,9105685,5362435,2,2,true,true,0,0,false,false,0,0,0,4,,,4,
Quigman,138974936,2429823,3166405,22358494,9,18,0,2429823,2429823,0,0,true,false,0,0,false,false,3166405,0,0,,,,,
D Fens,722948949,2912703,3974934,35998982,30,24,1,7355723,6891723,4,1,true,true,91696,0,false,false,0,0,0,1,,,,
CaptainK,947951149,2741652,3601567,38050815,14,29,0,9402218,6396718,3,0,true,true,0,0,false,false,0,0,0,1,3,,3,
Tr1stram,548455812,2748163,4120437,52290845,0,55,0,16630403,6882153,5,0,true,true,0,0,true,true,0,0,0,4,4,4,4,1
Ladrano,594819111,1875641,2571791,35892750,23,42,2,10727023,4469023,4,1,true,true,0,16840,false,true,0,0,0,2,3,4,,1
Lepocalypse,971381917,2695277,3711550,33495558,3,24,0,7957827,6406827,2,0,true,true,0,97904,false,false,0,0,0,2,2,,,
Greatfuljed I,717658145,2921602,3893966,42751187,20,43,0,10584370,6843720,5,1,true,true,587029,177257,true,true,0,0,0,3,4,0,2,0
TK2618,375869453,2748157,3592119,39962459,0,36,4,10391050,6360550,3,1,true,true,0,0,false,false,0,0,0,2,4,4,,
0The force is with you0,645496195,2316685,3063881,21772232,0,10,0,6167219,5391719,2,1,true,true,0,0,false,false,0,0,0,2,,,,
Fishfly,182746569,2936276,3986863,38033772,14,38,5,14013589,6941389,5,0,true,true,77326,12684,true,true,0,0,0,1,4,4,1,1
mannabirds,563984912,2792468,4144687,31041186,1,28,0,9526072,6948922,3,1,true,true,85309,0,false,false,0,0,0,1,3,,2,
