Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 464000_775500_1105000_1627500 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Tmacc85,521812115,53077523,10876585,13840424,14289847,14070667,5,6,5,4,64,15,20,16,13,2,4,4,4,1,3,4,4,4,4,1,3,4,4,4,1,4,4,4,1,63,8,30,4,21,1,0,1,0,0
chello26tt,847851959,32660498,7882609,7901641,9880672,6995576,3,4,3,2,13,4,3,5,1, ?, ?, ?, ?, ?,1,0,0,0,2,0,2,2,0,0,1,1,0,0,0,11,2,0,5,4,0,0,0,0,0
Paasan313,595451192,34092002,8727304,7828430,9287509,8248759,3,3,3,2,29,9,6,8,6,4,0,0,4,1,4,0,0,0,2,0,4,0,0,4,0,0,2,4,0,66,28,26,7,5,0,0,0,0,0
ryzingTitan,844171967,37253528,9040368,8363798,10269931,9579431,5,5,5,2,18,6,3,4,5,1,2,3,0,0,1,2,0,0,0,0,1,2,0,0,1,0,1,4,0,14,9,3,1,1,0,0,0,0,0
El paso,658545697,30257625,8951922,10438499,3070928,7796276,3,5,0,2,14,5,8,0,1, ?, ?, ?, ?, ?,1,1,4,0,2,0,0,0,0,0,0,0,1,0,0,8,0,3,0,5,0,0,0,0,0
CaptainK,947951149,33264087,9581783,4502279,8564276,10615749,5,0,4,4,19,10,0,5,4, ?, ?, ?, ?, ?,0,0,0,0,0,0,1,1,3,0,0,1,2,0,1,11,11,0,0,0,0,0,0,0,0
Tr1stram,548455812,58313284,12590841,15313811,15232919,15175713,5,6,5,4,67,17,21,16,13,4,4,4,4,1,4,4,4,4,4,1,4,4,4,3,1,4,4,4,1,64,30,2,30,2,1,0,1,0,0
Ladrano,594819111,41105877,9021824,9930212,11031296,11122545,5,5,5,4,49,14,14,11,10,3,3,4,3,1,2,3,4,4,0,1,1,1,4,4,1,3,2,4,1,26,3,1,22,0,2,0,1,0,1
MasterJ,912225591,48331787,11048678,13193909,13379521,10709679,5,6,4,4,52,13,18,12,9,4,4,0,4,1,3,4,4,4,3,0,3,4,0,4,1,4,1,4,0,66,16,23,27,0,1,0,1,0,0
BigRed,954383636,53503205,10664928,13633413,14927283,14277581,5,6,5,4,59,12,19,16,12,3,3,4,1,1,4,4,4,4,3,0,4,4,4,3,1,4,3,4,1,64,2,29,13,20,1,0,1,0,0
Lapskaus,283611597,38705573,7794250,10445303,11439260,9026760,4,3,4,2,40,13,12,9,6, ?, ?, ?, ?, ?,4,4,4,0,0,0,2,3,0,3,1,0,2,4,0,11,2,2,6,1,0,0,0,0,0
Robbo,141299866,36493825,9656034,10601176,10791316,5445299,5,6,5,3,46,14,15,10,7,4,4,4,1,1,4,4,4,0,3,0,2,4,0,3,1,4,3,0,0,3,0,0,2,1,1,0,1,0,0
MINI Nicolas Marcheciel,925496831,48618225,9246592,13210903,13073121,13087609,5,6,5,4,54,10,20,13,11,2,4,0,3,1,4,4,4,4,4,0,1,3,4,4,1,4,2,4,1,2,0,2,0,0,2,0,1,0,1
Mhan'und Kota,425544887,38080015,9854298,10290794,10103920,7831003,5,4,3,2,32,12,11,5,4, ?, ?, ?, ?, ?,1,4,4,0,2,0,0,0,0,4,1,4,0,0,0,10,3,4,1,2,0,0,0,0,0
DirectorRik,485698314,22231341,6380863,6041553,5132752,4676173,3,2,2,0,11,6,4,1,0,2,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0
Ghebbs,336539734,49693318,11536387,13806235,13836214,10514482,5,6,5,3,50,13,18,12,7,3,4,4,1,1,3,4,4,4,3,0,4,4,0,3,1,1,2,4,0,7,2,1,4,0,1,0,1,0,0
